"Location ID","Location","Value","Rank","1901-2000 Mean","Anomaly (1901-2000 base period)"
0101,"Alabama CD 1. Northern Valley",57.8,118,50.9,6.9
0102,"Alabama CD 2. Appalachian Mountain",58.9,121,51.7,7.2
0103,"Alabama CD 3. Upper Plains",61.7,122,53.9,7.8
0104,"Alabama CD 4. Eastern Valley",60.6,122,53,7.6
0105,"Alabama CD 5. Piedmont Plateau",61.6,121,53.7,7.9
0106,"Alabama CD 6. Prairie",65.0,124,56.3,8.7
0107,"Alabama CD 7. Coastal Plain",66.8,126,57.8,9.0
0108,"Alabama CD 8. Gulf",68.3,125,59.4,8.9
0201,"Arizona CD 1. Northwest",51.0,56,50.9,0.1
0202,"Arizona CD 2. Northeast",44.1,101,41.2,2.9
0203,"Arizona CD 3. North Central",49.0,68,48.1,0.9
0204,"Arizona CD 4. East Central",50.8,93,48.6,2.2
0205,"Arizona CD 5. Southwest",60.8,52,61.1,-0.3
0206,"Arizona CD 6. South Central",59.3,66,58.5,0.8
0207,"Arizona CD 7. Southeast",54.0,77,52.9,1.1
0301,"Arkansas CD 1. Northwest",53.1,114,47.2,5.9
0302,"Arkansas CD 2. North Central",52.9,111,47.9,5.0
0303,"Arkansas CD 3. Northeast",54.4,109,49.8,4.6
0304,"Arkansas CD 4. West Central",55.8,115,50.3,5.5
0305,"Arkansas CD 5. Central",56.2,107,52,4.2
0306,"Arkansas CD 6. East Central",57.2,112,52.3,4.9
0307,"Arkansas CD 7. Southwest",58.8,115,53.2,5.6
0308,"Arkansas CD 8. South Central",59.8,114,54.2,5.6
0309,"Arkansas CD 9. Southeast",59.8,116,54.2,5.6
0401,"California CD 1. North Coast Drainage",43.8,57,44.1,-0.3
0402,"California CD 2. Sacramento Drainage",44.4,52,45.1,-0.7
0403,"California CD 3. Northeast Interior Basins",34.5,51,35.3,-0.8
0404,"California CD 4. Central Coast Drainage",50.7,59,50.8,-0.1
0405,"California CD 5. San Joaquin Drainage",47.0,40,48,-1.0
0406,"California CD 6. South Coast Drainage",51.0,44,51.6,-0.6
0407,"California CD 7. Southeast Desert Basins",52.9,36,54.4,-1.5
0501,"Colorado CD 1. Arkansas Drainage",43.5,116,38,5.5
0502,"Colorado CD 2. Colorado Drainage",35.6,112,30.8,4.8
0503,"Colorado CD 3. Kansas Drainage",43.0,107,37.7,5.3
0504,"Colorado CD 4. Platte Drainage",37.8,107,33.2,4.6
0505,"Colorado CD 5. Rio Grande Drainage",33.9,111,29.2,4.7
0601,"Connecticut CD 1. Northwest",39.2,116,33.3,5.9
0602,"Connecticut CD 2. Central",41.8,118,35.6,6.2
